GAME_DATE,GAME_ID,season
2025-11-24,0022500284,2025-26
2025-11-24,0022500288,2025-26
2025-11-24,0022500288,2025-26
2025-11-24,0022500289,2025-26
2025-11-24,0022500286,2025-26
2025-11-24,0022500290,2025-26
2025-11-24,0022500290,2025-26
2025-11-24,0022500287,2025-26
2025-11-24,0022500291,2025-26
2025-11-24,0022500291,2025-26
2025-11-24,0022500285,2025-26
2025-11-24,0022500283,2025-26
2025-11-24,0022500285,2025-26
2025-11-24,0022500292,2025-26
2025-11-24,0022500286,2025-26
2025-11-24,0022500287,2025-26
2025-11-24,0022500289,2025-26
2025-11-24,0022500292,2025-26
2025-11-24,0022500284,2025-26
2025-11-24,0022500283,2025-26
2025-11-23,0022500275,2025-26
2025-11-23,0022500281,2025-26
2025-11-23,0022500279,2025-26
2025-11-23,0022500282,2025-26
2025-11-23,0022500280,2025-26
2025-11-23,0022500276,2025-26
2025-11-23,0022500277,2025-26
2025-11-23,0022500277,2025-26
2025-11-23,0022500275,2025-26
2025-11-23,0022500278,2025-26
2025-11-23,0022500279,2025-26
2025-11-23,0022500281,2025-26
2025-11-23,0022500282,2025-26
2025-11-23,0022500278,2025-26
2025-11-23,0022500280,2025-26
2025-11-23,0022500276,2025-26
2025-11-22,0022500268,2025-26
2025-11-22,0022500271,2025-26
2025-11-22,0022500268,2025-26
2025-11-22,0022500270,2025-26
2025-11-22,0022500273,2025-26
2025-11-22,0022500273,2025-26
2025-11-22,0022500272,2025-26
2025-11-22,0022500269,2025-26
2025-11-22,0022500274,2025-26
2025-11-22,0022500271,2025-26
2025-11-22,0022500269,2025-26
2025-11-22,0022500272,2025-26
2025-11-22,0022500274,2025-26
2025-11-22,0022500270,2025-26
2025-11-21,0022500056,2025-26
2025-11-21,0022500049,2025-26
2025-11-21,0022500055,2025-26
2025-11-21,0022500050,2025-26
2025-11-21,0022500052,2025-26
2025-11-21,0022500052,2025-26
2025-11-21,0022500056,2025-26
2025-11-21,0022500055,2025-26
2025-11-21,0022500048,2025-26
2025-11-21,0022500049,2025-26
2025-11-21,0022500050,2025-26
2025-11-21,0022500053,2025-26
2025-11-21,0022500053,2025-26
2025-11-21,0022500054,2025-26
2025-11-21,0022500051,2025-26
2025-11-21,0022500051,2025-26
2025-11-21,0022500048,2025-26
2025-11-21,0022500054,2025-26
2025-11-20,0022500265,2025-26
2025-11-20,0022500266,2025-26
2025-11-20,0022500264,2025-26
2025-11-20,0022500266,2025-26
2025-11-20,0022500267,2025-26
2025-11-20,0022500265,2025-26
2025-11-20,0022500264,2025-26
2025-11-20,0022500267,2025-26
2025-11-19,0022500256,2025-26
2025-11-19,0022500260,2025-26
2025-11-19,0022500257,2025-26
2025-11-19,0022500257,2025-26
2025-11-19,0022500255,2025-26
2025-11-19,0022500255,2025-26
2025-11-19,0022500262,2025-26
2025-11-19,0022500262,2025-26
2025-11-19,0022500258,2025-26
2025-11-19,0022500259,2025-26
2025-11-19,0022500261,2025-26
2025-11-19,0022500261,2025-26
2025-11-19,0022500263,2025-26
2025-11-19,0022500256,2025-26
2025-11-19,0022500259,2025-26
2025-11-19,0022500263,2025-26
2025-11-19,0022500258,2025-26
2025-11-19,0022500260,2025-26
2025-11-18,0022500249,2025-26
2025-11-18,0022500251,2025-26
2025-11-18,0022500250,2025-26
2025-11-18,0022500252,2025-26
2025-11-18,0022500249,2025-26
2025-11-18,0022500250,2025-26
2025-11-18,0022500254,2025-26
2025-11-18,0022500251,2025-26
2025-11-18,0022500253,2025-26
2025-11-18,0022500254,2025-26
2025-11-18,0022500252,2025-26
2025-11-18,0022500253,2025-26
2025-11-17,0022500241,2025-26
2025-11-17,0022500245,2025-26
2025-11-17,0022500241,2025-26
2025-11-17,0022500247,2025-26
2025-11-17,0022500247,2025-26
2025-11-17,0022500248,2025-26
2025-11-17,0022500246,2025-26
2025-11-17,0022500244,2025-26
2025-11-17,0022500246,2025-26
2025-11-17,0022500248,2025-26
2025-11-17,0022500243,2025-26
2025-11-17,0022500242,2025-26
2025-11-17,0022500242,2025-26
2025-11-17,0022500244,2025-26
2025-11-17,0022500245,2025-26
2025-11-17,0022500243,2025-26
2025-11-16,0022500235,2025-26
2025-11-16,0022500234,2025-26
2025-11-16,0022500233,2025-26
2025-11-16,0022500240,2025-26
2025-11-16,0022500234,2025-26
2025-11-16,0022500239,2025-26
2025-11-16,0022500235,2025-26
2025-11-16,0022500238,2025-26
2025-11-16,0022500236,2025-26
2025-11-16,0022500240,2025-26
2025-11-16,0022500237,2025-26
2025-11-16,0022500236,2025-26
2025-11-16,0022500237,2025-26
2025-11-16,0022500239,2025-26
2025-11-16,0022500233,2025-26
2025-11-16,0022500238,2025-26
2025-11-15,0022500232,2025-26
2025-11-15,0022500229,2025-26
2025-11-15,0022500229,2025-26
2025-11-15,0022500232,2025-26
2025-11-15,0022500230,2025-26
2025-11-15,0022500230,2025-26
2025-11-15,0022500228,2025-26
2025-11-15,0022500231,2025-26
2025-11-15,0022500228,2025-26
2025-11-15,0022500231,2025-26
2025-11-14,0022500046,2025-26
2025-11-14,0022500040,2025-26
2025-11-14,0022500044,2025-26
2025-11-14,0022500044,2025-26
2025-11-14,0022500039,2025-26
2025-11-14,0022500042,2025-26
2025-11-14,0022500043,2025-26
2025-11-14,0022500040,2025-26
2025-11-14,0022500043,2025-26
2025-11-14,0022500039,2025-26
2025-11-14,0022500042,2025-26
2025-11-14,0022500047,2025-26
2025-11-14,0022500045,2025-26
2025-11-14,0022500047,2025-26
2025-11-14,0022500045,2025-26
2025-11-14,0022500041,2025-26
2025-11-14,0022500041,2025-26
2025-11-14,0022500046,2025-26
2025-11-13,0022500225,2025-26
2025-11-13,0022500226,2025-26
2025-11-13,0022500227,2025-26
2025-11-13,0022500226,2025-26
2025-11-13,0022500225,2025-26
2025-11-13,0022500227,2025-26
2025-11-12,0022500215,2025-26
2025-11-12,0022500219,2025-26
2025-11-12,0022500220,2025-26
2025-11-12,0022500220,2025-26
2025-11-12,0022500213,2025-26
2025-11-12,0022500222,2025-26
2025-11-12,0022500217,2025-26
2025-11-12,0022500213,2025-26
2025-11-12,0022500223,2025-26
2025-11-12,0022500224,2025-26
2025-11-12,0022500217,2025-26
2025-11-12,0022500216,2025-26
2025-11-12,0022500224,2025-26
2025-11-12,0022500214,2025-26
2025-11-12,0022500218,2025-26
2025-11-12,0022500216,2025-26
2025-11-12,0022500219,2025-26
2025-11-12,0022500222,2025-26
2025-11-12,0022500215,2025-26
2025-11-12,0022500221,2025-26
2025-11-12,0022500214,2025-26
2025-11-12,0022500223,2025-26
2025-11-12,0022500221,2025-26
2025-11-12,0022500218,2025-26
